Id_Votacao;Data;Resultado;TipoVotacao;Projeto;SiglaProjeto;Assunto
2014022;02/04/2014 00:00;;;;MPV0627/13;MPV N∫ 627/2013 - DVS - PSC - EMENDA AGLUTINATIVA N∫ 1
2014026;09/04/2014 00:00;;;;MPV0630/13;MPV N∫ 630/2013 - DVS - PSDB - ART. 1∫ DA LEI 12.462/2011
2014028;09/04/2014 00:00;;;;MPV0630/13;MPV N∫ 630/2013 - DVS - DEM - ART. 1∫ DA MP P/ SUBSTITUIR O ART. 1∫ DO PLV
2014031;22/04/2014 00:00;;;;PLP0362/06;PLP N∫ 362/2006 - DVS - PT - ART. 2∫ DO SUBSTITUTIVO DO SENADO FEDERAL
2014039;29/04/2014 00:00;;;;PL.4246/12;PL N∫ 4246/2012 - DVS - PCdoB - ART. 235-C, CONST. DO ART. 6∫ DO SUBSTITUTIVO
2014040;06/05/2014 00:00;;;;PEC0471/05;PEC N∫ 471/2005 - INVERS√O DE PAUTA
2014044;13/05/2014 00:00;;;;PLP0221/12;PLP N∫ 221/2012 - DVS - PP/PROS - EMENDA N∫ 1
2014045;13/05/2014 00:00;;;;PLP0221/12;PLP N∫ 221/2012 - DVS - PP/PROS - EMENDA N∫ 20
2014046;20/05/2014 00:00;;;;MPV0635/13;MPV N∫ 635/2013 - DVS - PSB - EMENDA N∫ 23
2014047;20/05/2014 00:00;;;;MPV0632/13;MPV N∫ 632/2013 - DVS - DEM - ART. 24 DO PLV
2014048;21/05/2014 00:00;;;;MPV0633/13;MPV N∫ 633/2013 - DVS DEM - EMENDA N∫ 5
2014049;21/05/2014 00:00;;;;MPV0633/13;MPV N∫ 633/2013 - DVS - PP/PROS - ART 3∫ DO PLV
2014050;21/05/2014 00:00;;;;REQ.0634/.;REQ.  - PREFER NCIA PARA VOTA«√O DAS MPVS 634/2013, 636/2013 E 638/2014, AP”S O ITEM 2
2014052;27/05/2014 00:00;;;;MPV0640/14;MPV N∫ 640/2014 - PROJETO DE LEI DE CONVERS√O
2014053;03/06/2014 00:00;;;;PL.8035/10;DVS - PDT - ß5∫ DO ART. 5∫ ACRESC. AO SUBSTITUTIVO DO S.F.
2014055;03/06/2014 00:00;;;;PLP0221/12;DVS - PSDB - ARTIGOS: 1∫ E 2∫
2014059;03/06/2014 00:00;;;;PLP0221/12;DVS - PV - ART. 10 DA SUBEMENDA SUBSTITUTIVA APRESENTADA AO PLP 221/2012
2014062;04/06/2014 00:00;;;;PLP0397/14;EMENDA DE PLEN¡RIO N∫ 1
2014064;15/07/2014 00:00;;;;REQ10361/14;URG NCIA PARA APRECIA«√O DO PDC N∫ 1.491/2014
2014066;07/10/2014 00:00;;;;MPV0650/14;DVS - BLOCO PR - EMENDA AGLUTINATIVA N∞ 1
2014070;04/11/2014 00:00;;;;MPV0657/14;DVS - PT - ß 2∫  DO ART. 2-A DA LEI 9266/96, NA REDA«√O PROPOSTA PELA EMENDA 54
2014077;02/12/2014 00:00;;;;PLN0036/14;SUBSTITUTIVO DA COMISS√O MISTA DE OR«AMENTO
2014079;02/12/2014 00:00;;;;PLN0031/14;REQUERIMENTO DE ENCERRAMENTO DA DISCUSS√O
2014082;09/12/2014 00:00;;;;PLN0036/14;DVS - PSDB - EMENDA N∫ 69
2014087;16/12/2014 00:00;;;;PEC0358/13;DVS DEM -  ART. 198 DA CF CONST.ART 1∫, ß 10 DO ART 166, ART. 1∫, 2∫, 3∫ E 4∫
